provider,OeMnemonic,ProviderMnemonic,indicator_id,indicator_name,haver_description,haver_long_source,haver_discontinued,date,value
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2001,-30393.7
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2002,-17174.4
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2003,-17806.4
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2004,-12403.0
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2005,-12730.5
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2006,-11272.5
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2007,-23349.1
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2008,-32090.3
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2009,-17646.8
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2010,-49203.6
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2011,-52155.6
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2012,-45426.0
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2013,-54280.4
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2014,-51068.5
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2015,-18306.3
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2016,-32768.5
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2017,-28436.3
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2018,-31713.5
haver-local,,C273B6FA@IFS,C273B6FA@IFS,Mexico: BOP: Financial Account (Mil.US$),,International Monetary Fund,False,2019,-18554.5
